201702071054540024.webp: original=1468x2048, staged=1468x2048, rotated_to_vertical=False
20170207_073559.webp: original=1920x1920, staged=1920x1920, rotated_to_vertical=False
20170207_073733.webp: original=1920x1836, staged=1836x1920, rotated_to_vertical=True
20170207_073845.webp: original=1920x1920, staged=1920x1920, rotated_to_vertical=False
20170207_074116.webp: original=1920x1695, staged=1695x1920, rotated_to_vertical=True
20170207_074202.webp: original=1920x1395, staged=1395x1920, rotated_to_vertical=True
20170207_074248.webp: original=1920x1920, staged=1920x1920, rotated_to_vertical=False
20170207_074355.webp: original=1920x1687, staged=1687x1920, rotated_to_vertical=True
20170207_074611.webp: original=1920x1435, staged=1435x1920, rotated_to_vertical=True
20170207_074648.webp: original=1920x1558, staged=1558x1920, rotated_to_vertical=True
20170207_074800.webp: original=1920x1765, staged=1765x1920, rotated_to_vertical=True
20170207_094112.webp: original=1920x1507, staged=1507x1920, rotated_to_vertical=True
20170207_094259.webp: original=1920x1410, staged=1410x1920, rotated_to_vertical=True
20170207_094308.webp: original=1920x1923, staged=1920x1923, rotated_to_vertical=False
20170207_094920.webp: original=1920x1312, staged=1312x1920, rotated_to_vertical=True
20170207_094955.webp: original=1287x2048, staged=1287x2048, rotated_to_vertical=False
20170207_100458.webp: original=1920x1427, staged=1427x1920, rotated_to_vertical=True
20170207_100535.webp: original=1920x1281, staged=1281x1920, rotated_to_vertical=True
20170207_100616.webp: original=1920x1055, staged=1055x1920, rotated_to_vertical=True
20170207_100716.webp: original=1920x1499, staged=1499x1920, rotated_to_vertical=True
20170207_100755.webp: original=1920x1920, staged=1920x1920, rotated_to_vertical=False
20170207_101005.webp: original=1920x1920, staged=1920x1920, rotated_to_vertical=False
20170207_101108.webp: original=1920x1920, staged=1920x1920, rotated_to_vertical=False
20170207_101142.webp: original=1920x1920, staged=1920x1920, rotated_to_vertical=False
20170207_101313.webp: original=1920x1920, staged=1920x1920, rotated_to_vertical=False
20170207_101348.webp: original=1920x1920, staged=1920x1920, rotated_to_vertical=False
20170207_101428.webp: original=1920x1920, staged=1920x1920, rotated_to_vertical=False
20170207_144653.webp: original=1920x1836, staged=1836x1920, rotated_to_vertical=True
20170207_144958.webp: original=1920x1523, staged=1523x1920, rotated_to_vertical=True
20170207_145055.webp: original=1920x1836, staged=1836x1920, rotated_to_vertical=True
20170207_145059.webp: original=1920x1714, staged=1714x1920, rotated_to_vertical=True
20170207_145139.webp: original=1920x1327, staged=1327x1920, rotated_to_vertical=True
20170207_145147.webp: original=1920x1305, staged=1305x1920, rotated_to_vertical=True
20170207_145222.webp: original=1920x1920, staged=1920x1920, rotated_to_vertical=False
20170207_145302.webp: original=1920x1920, staged=1920x1920, rotated_to_vertical=False
20170207_145440.webp: original=1920x1348, staged=1348x1920, rotated_to_vertical=True
20170207_145555.webp: original=1920x1471, staged=1471x1920, rotated_to_vertical=True
20170611_105418.webp: original=1920x1440, staged=1440x1920, rotated_to_vertical=True
20170611_105544.webp: original=1920x1440, staged=1440x1920, rotated_to_vertical=True
20190317_112805.webp: original=1920x1440, staged=1440x1920, rotated_to_vertical=True
