original,asset,width,height
20201011_113206.webp,01-20201011-113206.webp,1920,1440
20221214_140150.webp,02-20221214-140150.webp,1920,865
20251130_100749.webp,03-20251130-100749.webp,1536,2048
474225259_8930804373663997_3249584649600470694_n.webp,04-474225259-8930804373663997-3249584649600470694-n.webp,414,414
485332249_1061851809312941_748638383905571474_n.webp,05-485332249-1061851809312941-748638383905571474-n.webp,414,414
ScreenShot2026-01-15at9.29.30PM.webp,06-screenshot2026-01-15at9-29-30pm.webp,1008,1022
Seniors.webp,07-seniors.webp,1920,1440
upload_-1(28).webp,08-upload-1-28.webp,1920,1080
_MG_5298.webp,09-mg-5298.webp,1920,1280
482089885_1052647403566715_4532017453645014277_n.webp,10-482089885-1052647403566715-4532017453645014277-n.webp,414,414
PXL_20240202_164457648.webp,11-pxl-20240202-164457648.webp,1536,2048
487505688_1070526591778796_31664148844744260_n.webp,12-487505688-1070526591778796-31664148844744260-n.webp,414,414
ChristmasEveLivestream1.webp,13-christmasevelivestream1.webp,1587,830
ChristmasEveLivestream2.webp,14-christmasevelivestream2.webp,1920,1008
BlessingoftheBikes3.webp,15-blessingofthebikes3.webp,1920,1279
IMG_7463.webp,16-img-7463.webp,1536,2048
IMG_7475.webp,17-img-7475.webp,1536,2048
_MG_5509.webp,18-mg-5509.webp,1920,1677
505718628_1123463009818487_374006352736524905_n.webp,19-505718628-1123463009818487-374006352736524905-n.webp,414,414
481446290_1045028490995273_457413532470248849_n.webp,20-481446290-1045028490995273-457413532470248849-n.webp,414,414
481180151_1039914724839983_8538303013739334941_n.webp,21-481180151-1039914724839983-8538303013739334941-n.webp,414,414
485368623_1062479302583525_7268049589972196897_n.webp,22-485368623-1062479302583525-7268049589972196897-n.webp,414,414
488677043_9367749303302833_4464899831153930463_n.webp,23-488677043-9367749303302833-4464899831153930463-n.webp,414,414
